,x,y,target
0,4.4804965465088475,3.329107714690239,0
1,2.1153557628042763,1.743644928360717,0
2,2.6444005117004528,1.4695021885388622,0
3,3.73987497749654,2.7504442386386017,0
4,3.224917300687881,2.4683212864772957,0
5,2.6094629152568114,1.4521628027775852,0
6,2.7881233850699574,3.341780466044143,0
7,1.647940415379753,3.0828751522107343,0
8,2.304204504551302,3.796744951777764,0
9,2.4655781956651346,4.345498033064221,0
10,6.9253717729900695,7.066009191967444,1
11,7.056977953007116,7.2362130973138825,1
12,6.68401419042897,6.7477405011689955,1
13,6.1268030151559225,8.601097352226851,1
14,7.678449112428808,6.824275001954087,1
15,6.159217379088944,7.103275853858888,1
16,7.236968246006247,7.981135327121945,1
17,8.313385014293214,8.294777807700196,1
18,5.308561279516768,7.579448281443211,1
19,6.237030342546189,7.097014863505512,1
